Name,Phone,Email,Address,Building,Notes
BS - Boulder Station,,kim.schlemmer@hhglobal.com greg.smith@hhglobal.com,"4111 Boulder Hwy, Las Vegas, NV 89121, USA",,
CDS,,,"950 Grier Drive, Las Vegas, NV 89119",,
CHY - Deep Roots Harvest - Cheyenne,480 246 2211,matthew.janz@deeprootsharvest.com,"5991 W Cheyenne Ave #4204, Las Vegas, NV 89108, USA",,
Cirque du Soleil,,,"1151 Grier Dr suite C, Las Vegas, NV 89119, USA",,
CNA - City National Arena,,,"1550 S Pavilion Center Dr, Las Vegas, NV 89135, USA",,
Container Park,702.556.0538,bill.kennedy@dtplv.com,"707 Fremont St, Las Vegas, NV 89101, USA",,Delivery: Can go directly to the front of Container Park (at...
Corperate,,irivera@mgmresorts.com,"880 Grier Dr, Las Vegas, NV 89119, USA",,
COSMO - Cosmopolitan,,,"3708 Las Vegas Blvd S, Las Vegas, NV 89109",,
Curtis Steel,,,"4565 S Wynn Rd., Las Vegas, NV 89103",,
DR - Durango Casino & Resort,,kim.schlemmer@hhglobal.com greg.smith@hhglobal.com,"6915 S Durango Dr, Las Vegas, NV 89148, USA",,
El Cortez Hotel and Casino,,kim.schlemmer@hhglobal.com greg.smith@hhglobal.com,"600 E Fremont St, Las Vegas, NV 89101",,
Empire Cat Rental Store,,,https://maps.app.goo.gl/QzrDFBP2szUJL5728,,
EXC - Excalibur,,,"3850 S Las Vegas Blvd, Las Vegas, NV 89109, USA",Deliver to Excalibur Marketing,
Fabulous Freddy’s - Craig,,denise@fabfred.com,"4309 W Craig Rd, North Las Vegas, NV 89032",,
Fabulous Freddy’s - Durango,,denise@fabfred.com,"4350 S Durango Dr, Las Vegas, NV 89147",,
FB - FONTAINEBLEAU,,Leslie.Stokoe@FBLasVegas.com,"2777 South Las Vegas Boulevard, Las Vegas, NV 89109",,
Fergusons,,bill.kennedy@dtplv.com,"1028 E Fremont St, Las Vegas, NV 89101",,Attention Hannah (GM).
FOLV,,kindovino@experienceflyover.com,"1660 Helm Dr. Las Vegas, NV 89119",Suite 400,
GGA - Grand Garden Arena,,,"3799 S Las Vegas Blvd, Las Vegas, NV 89109, USA",,
Glantz Sign and Graphics Supplies,,,"5277 Cameron St #140, Las Vegas, NV 89118, USA",,
Gold Spike,,bill.kennedy@dtplv.com,"217 North Las Vegas Boulevard, Las Vegas, NV 89101",,attention Steve Stettler/Manager
GRAND - MGM Grand,,,"3799 S Las Vegas Blvd, Las Vegas, NV 89109, USA",,
Grimco Inc.,,,"6283 S Valley View Blvd f, Las Vegas, NV 89118, USA",,
GVR - Green Valley Ranch,,kim.schlemmer@hhglobal.com greg.smith@hhglobal.com,"2300 Paseo Verde Pkwy, Henderson, NV 89052, USA",,
Highland Commercial,702-906-0877,,"2601 Highland Drive, STE 104, Las Vegas, NV 89109",,Call Tony Daly with any issues
Home Depot,,,"4750 S Decatur Blvd, Las Vegas, NV 89103, USA",,
Hylo Park,,,"2400 North Rancho Drive, North Las Vegas, NV 89130",,
HyperX Arena Las Vegas,,,"Luxor Hotel & Casino, Luxor Dr, Las Vegas, NV 89119",,
KA BOX OFFICE,702.335.2039,conover.sarah01@gmail.com,"3799 S Las Vegas Blvd, Las Vegas, NV 89109, USA",Brad Garretts,
Kelly Spicers Store,,,"Kelly Spicers Stores - Las Vegas, 3655 W Sunset Rd Unit C, Las Vegas, NV 89118",,
Kelly Spicers Stores,,,"3655 W Sunset Rd Unit C, Las Vegas, NV 89118",,
KRE8,,,"4300 West Tropicana Avenue, Las Vegas, NV 89103",,
Laird Plastics,,,"5280 Badura Ave ste 130, Las Vegas, NV 89118, USA",,
Las Vegas Demolition,,,"4795 Quality, Las Vegas, NV 89103",,
LFF - Lee's Family Forum,,,"200 S Green Valley Pkwy, Henderson, NV 89012, USA",,
LINQ Hotel + Experience,,,"3535 Las Vegas Blvd S, Las Vegas, NV 89109, USA",,
Lowe's,,qcd@qcdlv.com,"5050 South Fort Apache Road, Las Vegas, NV 89148",,
LUX - Luxor,,,"3900 S Las Vegas Blvd, Las Vegas, NV 89119, USA",Marketing,
MBAY - Mandalay Bay,,,"3950 S Las Vegas Blvd, Las Vegas, NV 89119, USA",Sign shop,
"McFadden-Dale Industrial Hardware, 5580 S Decatur Blvd #114,",,,"5580 S Decatur Blvd #114, Las Vegas, NV 89118",,
MGM Resort Events,,,"5620 Cameron St suite a, Las Vegas, NV 89118, USA",,
MGM Resorts International Career Center,,,"840 Grier Dr, Las Vegas, NV 89119, USA",,
MGM Resorts International Career Center,,,"980 Kelly Johnson Drive, Las Vegas, NV 89119",,
MGM Resorts Operations - 880 Grier,,,"880 Grier Drive, Las Vegas, NV 89119",,
Michael's,,,"The Arroyo Market Square, 7195 Arroyo Crossing Pkwy, Las Vegas, NV 89113",,
Montroy Sign & Graphic Products,,,"5385 Wynn Rd, Las Vegas, NV 89118",,
MUA - Michelob ULTRA Arena,,,"3950 S Las Vegas Blvd, Las Vegas, NV 89119, USA",,
NLV - Deep Roots Harvest - Craig,,matthew.janz@deeprootsharvest.com,"1306 W Craig Rd Suite A, North Las Vegas, NV 89032",,
NYNY - New York-New York,,,"3790 S Las Vegas Blvd, Las Vegas, NV 89109, USA",,
Orbus Visual Communications,,,"4850 Statz St, North Las Vegas, NV 89081, USA",,
Palazzo,,,"3325 S Las Vegas Blvd, Las Vegas, NV 89109, USA",,
PDQ,,,"3820 South Valley View Boulevard, Las Vegas, NV 89103",,
Piedmont Plastics,,,"5180 Cameron Street ste 1, Las Vegas, NV 89118, USA",,
PKS Deep Roots Harvest - parkson,,sam.steinborn@deeprootsharvest.com,"580 Parkson Road, Henderson, NV 89011",,"Attn: Halie Hawthorne – Dispensary Manager
 
 Deep Roots Har..."
Polymershapes,,,"6435 S Valley View Blvd, Las Vegas, NV 89118, USA",,
PS - Palace Station Hotel and Casino,,kim.schlemmer@hhglobal.com,"2411 W Sahara Ave, Las Vegas, NV 89102, USA",,
Resorts World,,,"3000 S Las Vegas Blvd, Las Vegas, NV 89109, USA",,
Rio Hotel & Casino,,,"3700 W Flamingo Rd, Las Vegas, NV 89103, USA",,
RR - Red Rock Casino,,kim.schlemmer@hhglobal.com greg.smith@hhglobal.com,"11011 W Charleston Blvd, Las Vegas, NV 89135, USA",,
RSD,,Laura.Muller@cirquedusoleil.com,"950 Grier Drive, Las Vegas, NV, USA",,
SF - Santa Fe Station Hotel and Casino,,kim.schlemmer@hhglobal.com greg.smith@hhglobal.com,"4949 N Rancho Dr, Las Vegas, NV 89130, USA",,
Sherwin Williams -LAS VEGAS-HIGHLAND #701608,(702) 818-2700,,3630 Highland Dr  Las Vegas NV 89103,,
Stations Corporate,,kim.schlemmer@hhglobal.com greg.smith@hhglobal.com,"1505 South Pavilion Center Drive, Las Vegas, NV, USA",,
Switch,(725) 248-4179,asacramento@switch.com,"6795 South Edmond Street, Las Vegas, NV 89118","3rd Floor,",We also have a new front desk coordinator who will be happy ...
Tabic's Sewing Machines,,,"2021 S Industrial Rd, Las Vegas, NV 89102, USA",,
Tao Beach @ Venetian,702.524.1034,"Gianna.Mata@taogroup.com  ,   Sonny.Merslich@taogroup.com","3355 South Las Vegas Boulevard, Las Vegas, NV 89109",,
Taylor Corporation,702.277.3887,,"4151 N Pecos Rd #203, Las Vegas, NV 89115",,
Team Ford Las Vegas,,,"5445 Drexel Road, Las Vegas, NV 89130",Finance Department,
TForce Logistics,,,"4624 East Craig Road, Las Vegas, NV 89115",,
The Mirage,,,"3400 S Las Vegas Blvd, Las Vegas, NV 89109, USA",,
The Signature at MGM Grand,,,"145 E Harmon Ave, Las Vegas, NV 89109, USA",,
The Source - Eastern,,sam.steinborn@deeprootsharvest.com,9480 S. Eastern Ave Suite 185,,ATTN: Candance Sigmon – General Manager
The Source - NLV,,matthew.janz@deeprootsharvest.com,"420 East Deer Springs Way, North Las Vegas, NV 89084",,ATTN: Matthijs Bogerd – General Manager
The Source - Pahrump,,sam.steinborn@deeprootsharvest.com,"2370 Homestead Road, Pahrump, NV 89048",,ATTN: Lillian Ervine – General Manager
The Source - Water St,,Matthew.Janz@deeprootsharvest.com,"450 North Water Street, Henderson, NV 89015",,
TMA - T-Mobile Arena,,,"3780 S Las Vegas Blvd, Las Vegas, NV 89109, USA",,
Tony  Daly,702-906-0877,,2601 Highland Dr Ste 104,,
Toryon Technologies,,,"6672 Spencer St #400, Las Vegas, NV 89119, USA",,
UPS Store,,,"The UPS Store, South Decatur Boulevard, Las Vegas, NV, USA",,
Waldorf Astoria,862 684 6403,danielle.gamsby@waldorfastoria.com,"3752 Las Vegas Boulevard South Las Vegas, Nevada 89158",,
Walmart Super Center Las Vegas Supercenter #4356,,,"7200 Arroyo Crossing Pkwy, Las Vegas, NV 89113",,
WFA - Wildfire Anthem,,kim.schlemmer@hhglobal.com Greg.smith@hhglobal.com,"2551 Anthem Village Dr, Henderson, NV 89052",,
WFB - Wildfire Boulder,,kim.schlemmer@hhglobal.com greg.smith@hhglobal.com,"2000 S Boulder Hwy, Henderson, NV 89002",,
WFFM - Wildfire Fremont,,kim.schlemmer@hhglobal.com greg.smith@hhglobal.com,"2700 E Fremont St, Las Vegas, NV 89104",,
WFL - Wildfire Lanes,,kim.schlemmer@hhglobal.com greg.smith@hhglobal.com,"4451 E Sunset Rd Suite #1, Henderson, NV 89014",,
WFLM - Wildfire Lake Mead,,greg.smith@hhglobal.com,"846 East Lake Mead Parkway, Henderson, NV 89015",,
WFR - Wildfire Rancho,,kim.schlemmer@hhglobal.com greg.smith@hhglobal.com,"1901 NORTH RANCHO DIRVE, LAS VEGAS, NV, 89106",,
WFS - Wildfire Sunset,,kim.schlemmer@hhglobal.com greg.smith@hhglobal.com,"1195 W. Sunset Road Henderson, NV 89014, USA",,
WFVV - Wildfire Valley View,,kim.schlemmer@hhglobal.com greg.smith@hhglobal.com,"3045 S Valley View Blvd., Las Vegas, NV 89102",,
Wildfire Corporation,,kim.schlemmer@hhglobal.com greg.smith@hhglobal.com,"3265 Palms Center Dr, Las Vegas, NV 89103, USA",,
World Market Center Las Vegas,,,"475 S Grand Central Pkwy #1615, Las Vegas, NV 89106, USA",,
